HostName,TimeStamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
ip-172-31-32-5,0,all,76.77,0.00,6.57,1.01,0.51,15.15
ip-172-31-32-5,1,all,79.00,0.00,5.00,0.00,0.00,16.00
ip-172-31-32-5,2,all,86.29,0.00,7.61,0.00,0.00,6.09
ip-172-31-32-5,3,all,94.53,0.00,3.48,0.00,0.00,1.99
ip-172-31-32-5,4,all,91.88,0.00,5.58,0.00,0.00,2.54
ip-172-31-32-5,5,all,86.80,0.00,11.68,0.00,0.00,1.52
ip-172-31-32-5,6,all,79.19,0.00,18.27,0.00,0.00,2.54
ip-172-31-32-5,7,all,88.89,0.00,9.60,0.00,0.00,1.52
ip-172-31-32-5,8,all,76.65,0.00,20.30,0.00,0.00,3.05
ip-172-31-32-5,9,all,85.93,0.00,12.56,0.00,0.00,1.51
ip-172-31-32-5,10,all,80.40,0.00,16.58,0.00,0.00,3.02
ip-172-31-32-5,11,all,82.32,0.00,15.15,0.00,0.00,2.53
ip-172-31-32-5,12,all,85.35,0.00,10.61,0.00,0.00,4.04
ip-172-31-32-5,13,all,82.32,0.00,13.64,0.00,0.00,4.04
ip-172-31-32-5,14,all,81.12,0.00,14.80,0.00,0.00,4.08
ip-172-31-32-5,15,all,80.20,0.00,14.21,0.00,0.00,5.58
ip-172-31-32-5,16,all,78.76,0.00,15.03,0.00,0.00,6.22
ip-172-31-32-5,17,all,78.61,0.00,16.92,0.00,0.00,4.48
ip-172-31-32-5,18,all,77.66,0.00,14.72,0.00,0.51,7.11
ip-172-31-32-5,19,all,76.56,0.00,15.10,0.52,0.00,7.81
ip-172-31-32-5,20,all,80.40,0.00,15.08,0.00,0.00,4.52
ip-172-31-32-5,21,all,71.86,0.00,18.09,0.00,0.00,10.05
ip-172-31-32-5,22,all,74.24,0.00,16.16,0.00,0.51,9.09
ip-172-31-32-5,23,all,75.13,0.00,19.29,0.00,0.00,5.58
ip-172-31-32-5,24,all,78.87,0.00,16.49,0.52,0.00,4.12
ip-172-31-32-5,25,all,83.58,0.00,14.43,0.00,0.00,1.99
ip-172-31-32-5,26,all,73.74,0.00,15.15,0.00,0.00,11.11
ip-172-31-32-5,27,all,78.46,0.00,13.85,0.00,0.00,7.69
ip-172-31-32-5,28,all,78.06,0.00,17.86,0.00,0.00,4.08
ip-172-31-32-5,29,all,72.08,0.00,19.80,1.52,0.00,6.60
ip-172-31-32-5,30,all,70.05,0.00,22.84,0.00,0.51,6.60
ip-172-31-32-5,31,all,78.79,0.00,16.16,0.00,0.00,5.05
ip-172-31-32-5,32,all,80.40,0.00,13.07,0.00,0.00,6.53
ip-172-31-32-5,33,all,73.60,0.00,16.24,0.00,0.00,10.15
ip-172-31-32-5,34,all,76.26,0.00,17.17,0.51,0.51,5.56
ip-172-31-32-5,35,all,70.53,0.00,20.53,0.00,0.00,8.95
ip-172-31-32-5,36,all,68.88,0.00,16.33,0.00,0.00,14.80
