HostName,TimeStamp,Device:,rrqm/s,wrqm/s,r/s,w/s,rkB/s,wkB/s,avgrq-sz,avgqu-sz,await,r_await,w_await,svctm,%util
ip-172-31-32-5,0,xvda,0.00,1.15,0.04,0.90,0.62,26.48,57.50,0.00,4.59,14.22,4.19,0.85,0.08
ip-172-31-32-5,1,xvda,0.00,0.00,0.00,1.00,0.00,32.00,64.00,0.02,20.00,0.00,20.00,20.00,2.00
ip-172-31-32-5,2,xvda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,3,xvda,0.00,0.00,0.00,17.00,0.00,2004.00,235.76,0.08,4.47,0.00,4.47,0.71,1.20
ip-172-31-32-5,4,xvda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,5,xvda,0.00,144.00,0.00,6.00,0.00,600.00,200.00,0.04,6.67,0.00,6.67,1.33,0.80
ip-172-31-32-5,6,xvda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,7,xvda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,8,xvda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,9,xvda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,10,xvda,0.00,212.00,0.00,14.00,0.00,920.00,131.43,0.00,0.29,0.00,0.29,0.29,0.40
ip-172-31-32-5,11,xvda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,12,xvda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,13,xvda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,14,xvda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,15,xvda,0.00,226.00,0.00,9.00,0.00,940.00,208.89,0.00,0.44,0.00,0.44,0.44,0.40
ip-172-31-32-5,16,xvda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,17,xvda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,18,xvda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,19,xvda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,20,xvda,0.00,709.00,0.00,108.00,0.00,3272.00,60.59,0.64,5.96,0.00,5.96,0.30,3.20
ip-172-31-32-5,21,xvda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,22,xvda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,23,xvda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
