HostName,TimeStamp,PM,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,PM,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,PM,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
ip-172-31-32-5,0,PM,0.00,32.00,13313.00,0.00,8937.00,0.00,0.00,0.00,0.00,PM,3100680,5073108,62.07,253172,3525360,1675616,20.50,3565032,1185532,420,PM,0,0,0.00,0,0.00
ip-172-31-32-5,1,PM,0.00,0.00,9739.00,0.00,6060.00,0.00,0.00,0.00,0.00,PM,3016036,5157752,63.10,253172,3525372,1768584,21.64,3649604,1185532,432,PM,0,0,0.00,0,0.00
ip-172-31-32-5,2,PM,0.00,2004.00,19928.00,0.00,8856.00,0.00,0.00,0.00,0.00,PM,2832340,5341448,65.35,253172,3527300,1996024,24.42,3830552,1187364,440,PM,0,0,0.00,0,0.00
ip-172-31-32-5,3,PM,0.00,600.00,3865.00,0.00,2681.00,0.00,0.00,0.00,0.00,PM,2789456,5384332,65.87,253172,3527632,1996024,24.42,3872268,1187472,1156,PM,0,0,0.00,0,0.00
ip-172-31-32-5,4,PM,0.00,0.00,3170.00,0.00,4966.00,0.00,0.00,0.00,0.00,PM,2760868,5412920,66.22,253172,3528860,2051340,25.10,3899732,1188036,2408,PM,0,0,0.00,0,0.00
ip-172-31-32-5,5,PM,0.00,0.00,4708.00,0.00,8166.00,0.00,0.00,0.00,0.00,PM,2710644,5463144,66.84,253172,3530148,2096700,25.65,3946592,1187560,3652,PM,0,0,0.00,0,0.00
ip-172-31-32-5,6,PM,0.00,0.00,5697.00,0.00,8898.00,0.00,0.00,0.00,0.00,PM,2658748,5515040,67.47,253172,3532048,2141060,26.19,3997512,1187592,5552,PM,0,0,0.00,0,0.00
ip-172-31-32-5,7,PM,0.00,0.00,2216.00,0.00,4892.00,0.00,0.00,0.00,0.00,PM,2620100,5553688,67.95,253172,3533084,2141060,26.19,4038144,1187684,6588,PM,0,0,0.00,0,0.00
ip-172-31-32-5,8,PM,0.00,880.00,6489.00,0.00,7718.00,0.00,0.00,0.00,0.00,PM,2605252,5568536,68.13,253172,3535432,2141060,26.19,4047272,1188244,9576,PM,0,0,0.00,0,0.00
ip-172-31-32-5,9,PM,0.00,40.00,1968.00,0.00,3317.00,0.00,0.00,0.00,0.00,PM,2599780,5574008,68.19,253172,3537912,2141060,26.19,4051444,1188056,12008,PM,0,0,0.00,0,0.00
ip-172-31-32-5,10,PM,0.00,0.00,2021.00,0.00,4633.00,0.00,0.00,0.00,0.00,PM,2592740,5581048,68.28,253172,3539660,2141060,26.19,4057900,1188320,13744,PM,0,0,0.00,0,0.00
ip-172-31-32-5,11,PM,0.00,0.00,3339.00,0.00,6877.00,0.00,0.00,0.00,0.00,PM,2587844,5585944,68.34,253172,3545084,2124924,26.00,4061240,1189828,19164,PM,0,0,0.00,0,0.00
ip-172-31-32-5,12,PM,0.00,0.00,2718.00,0.00,4839.00,0.00,0.00,0.00,0.00,PM,2582412,5591376,68.41,253172,3548572,2141460,26.20,4063488,1191372,22652,PM,0,0,0.00,0,0.00
ip-172-31-32-5,13,PM,0.00,940.00,1742.00,0.00,6060.00,0.00,0.00,0.00,0.00,PM,2581000,5592788,68.42,253172,3548804,2141460,26.20,4065216,1190456,23524,PM,0,0,0.00,0,0.00
ip-172-31-32-5,14,PM,0.00,0.00,2180.00,0.00,5089.00,0.00,0.00,0.00,0.00,PM,2570292,5603496,68.55,253172,3556080,2141460,26.20,4069872,1194536,30668,PM,0,0,0.00,0,0.00
ip-172-31-32-5,15,PM,0.00,0.00,1658.00,0.00,5373.00,0.00,0.00,0.00,0.00,PM,2559052,5614736,68.69,253172,3565532,2141460,26.20,4074968,1199024,40120,PM,0,0,0.00,0,0.00
ip-172-31-32-5,16,PM,0.00,0.00,2504.00,0.00,5184.00,0.00,0.00,0.00,0.00,PM,2544220,5629568,68.87,253172,3573004,2141460,26.20,4081940,1204724,47592,PM,0,0,0.00,0,0.00
ip-172-31-32-5,17,PM,0.00,0.00,3267.00,0.00,8963.00,0.00,0.00,0.00,0.00,PM,2545132,5628656,68.86,253172,3573704,2134148,26.11,4084996,1202084,48292,PM,0,0,0.00,0,0.00
ip-172-31-32-5,18,PM,0.00,1228.00,2962.00,0.00,6759.00,0.00,0.00,0.00,0.00,PM,2541164,5632624,68.91,253172,3575200,2150440,26.31,4089616,1200332,50600,PM,0,0,0.00,0,0.00
