HostName,TimeStamp,PM,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
ip-172-31-32-5,0,PM,eth0,5.00,6.00,1.74,0.75,0.00,0.00,0.00,0.00
ip-172-31-32-5,1,PM,eth0,48.00,55.00,2.58,12.31,0.00,0.00,0.00,0.00
ip-172-31-32-5,2,PM,eth0,65.00,76.00,3.30,13.10,0.00,0.00,0.00,0.00
ip-172-31-32-5,3,PM,eth0,425.00,484.00,21.62,93.35,0.00,0.00,0.00,0.00
ip-172-31-32-5,4,PM,eth0,812.00,824.00,41.30,164.49,0.00,0.00,0.00,0.00
ip-172-31-32-5,5,PM,eth0,911.00,919.00,46.33,187.31,0.00,0.00,0.00,0.00
ip-172-31-32-5,6,PM,eth0,1280.00,1238.00,65.11,259.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,7,PM,eth0,1385.00,1334.00,70.44,300.11,0.00,0.00,0.00,0.00
ip-172-31-32-5,8,PM,eth0,933.00,1108.00,47.45,237.58,0.00,0.00,0.00,0.00
ip-172-31-32-5,9,PM,eth0,1334.00,1388.00,67.85,299.86,0.00,0.00,0.00,0.00
ip-172-31-32-5,10,PM,eth0,2445.00,2356.00,124.37,496.74,0.00,0.00,0.00,0.00
ip-172-31-32-5,11,PM,eth0,2279.00,2201.00,115.94,480.87,0.00,0.00,0.00,0.00
ip-172-31-32-5,12,PM,eth0,1937.00,2172.00,98.54,499.45,0.00,0.00,0.00,0.00
ip-172-31-32-5,13,PM,eth0,3329.00,3157.00,169.32,701.17,0.00,0.00,0.00,0.00
ip-172-31-32-5,14,PM,eth0,2682.00,2696.00,136.41,584.82,0.00,0.00,0.00,0.00
ip-172-31-32-5,15,PM,eth0,2805.00,2675.00,144.18,569.60,0.00,0.00,0.00,0.00
ip-172-31-32-5,16,PM,eth0,2905.00,3174.00,147.80,753.14,0.00,0.00,0.00,0.00
ip-172-31-32-5,17,PM,eth0,3847.00,3770.00,195.71,869.25,0.00,0.00,0.00,0.00
ip-172-31-32-5,18,PM,eth0,3363.00,3277.00,171.13,793.59,0.00,0.00,0.00,0.00
ip-172-31-32-5,19,PM,eth0,3264.00,3293.00,166.07,750.96,0.00,0.00,0.00,0.00
ip-172-31-32-5,20,PM,eth0,2659.00,2649.00,135.26,641.67,0.00,0.00,0.00,0.00
ip-172-31-32-5,21,PM,eth0,2732.00,2551.00,139.02,601.32,0.00,0.00,0.00,0.00
ip-172-31-32-5,22,PM,eth0,2493.00,2729.00,126.88,680.24,0.00,0.00,0.00,0.00
ip-172-31-32-5,23,PM,eth0,4063.00,4078.00,206.71,951.19,0.00,0.00,0.00,0.00
ip-172-31-32-5,24,PM,eth0,4328.00,4355.00,220.17,974.60,0.00,0.00,0.00,0.00
ip-172-31-32-5,25,PM,eth0,4524.00,4410.00,230.12,1003.72,0.00,0.00,0.00,0.00
ip-172-31-32-5,26,PM,eth0,4250.00,4359.00,216.28,1041.09,0.00,0.00,0.00,0.00
ip-172-31-32-5,27,PM,eth0,3340.00,3157.00,169.89,720.96,0.00,0.00,0.00,0.00
ip-172-31-32-5,28,PM,eth0,2972.00,2887.00,151.24,695.97,0.00,0.00,0.00,0.00
ip-172-31-32-5,29,PM,eth0,2837.00,2871.00,144.35,715.44,0.00,0.00,0.00,0.00
ip-172-31-32-5,30,PM,eth0,3385.00,3579.00,173.73,835.00,0.00,0.00,0.00,0.00
ip-172-31-32-5,31,PM,eth0,3830.00,3600.00,194.81,791.66,0.00,0.00,0.00,0.00
ip-172-31-32-5,32,PM,eth0,2722.00,2534.00,138.51,601.48,0.00,0.00,0.00,0.00
ip-172-31-32-5,33,PM,eth0,2936.00,3101.00,149.38,757.72,0.00,0.00,0.00,0.00
ip-172-31-32-5,34,PM,eth0,4395.00,4479.00,223.64,1113.62,0.00,0.00,0.00,0.00
