Hostname,TimeStamp,Cycles,Application,Module,Kernel,Function
ip-172-31-32-5,0,2.5309359999999996,swapper,[kernel.kallsyms],[k],native_safe_halt
ip-172-31-32-5,0,0.88632,java,[kernel.kallsyms],[k],_raw_spin_unlock_irqrestore
ip-172-31-32-5,0,0.600728,java,libpthread-2.23.so,[.],pthread_getspecific
ip-172-31-32-5,0,0.581032,java,perf-9304.map,[.],0x00007fddb5a7c525
ip-172-31-32-5,0,0.5416400000000001,java,perf-9304.map,[.],0x00007fddb5a7c5cc
ip-172-31-32-5,0,0.521944,java,[kernel.kallsyms],[k],finish_task_switch
ip-172-31-32-5,0,0.48255200000000004,sshd,[kernel.kallsyms],[k],_raw_spin_unlock_irqrestore
ip-172-31-32-5,0,0.472704,java,[kernel.kallsyms],[k],pvclock_clocksource_read
ip-172-31-32-5,0,0.44316,java,[kernel.kallsyms],[k],__d_lookup_rcu
ip-172-31-32-5,0,0.40376799999999996,java,[kernel.kallsyms],[k],entry_SYSCALL_64_after_swapgs
ip-172-31-32-5,0,0.384072,java,[kernel.kallsyms],[k],smp_call_function_single
ip-172-31-32-5,0,0.305288,java,libc-2.23.so,[.],0x0000000000171f08
ip-172-31-32-5,0,0.285592,java,perf-9304.map,[.],0x00007fddb59681bb
ip-172-31-32-5,0,0.27574400000000004,tee,[kernel.kallsyms],[k],queue_work_on
ip-172-31-32-5,0,0.265896,tee,[kernel.kallsyms],[k],finish_task_switch
ip-172-31-32-5,0,0.2462,java,perf-9304.map,[.],0x00007fddb6101a2d
ip-172-31-32-5,0,0.236352,java,perf-9304.map,[.],0x00007fddb6101ba4
ip-172-31-32-5,0,0.226504,java,libjvm.so,[.],0x0000000000621b8a
ip-172-31-32-5,0,0.226504,java,perf-9304.map,[.],0x00007fddb60f70d8
ip-172-31-32-5,0,0.21665600000000002,java,[kernel.kallsyms],[k],clear_page_c_e
ip-172-31-32-5,0,0.21665600000000002,java,perf-9304.map,[.],0x00007fddb58c2d2e
ip-172-31-32-5,0,0.20680800000000002,java,libverify.so,[.],VerifyFixClassname
ip-172-31-32-5,0,0.20680800000000002,java,perf-9304.map,[.],0x00007fddb5ef2268
ip-172-31-32-5,0,0.177264,java,[kernel.kallsyms],[k],_raw_spin_lock
ip-172-31-32-5,0,0.167416,java,[kernel.kallsyms],[k],xen_hypercall_event_channel_op
ip-172-31-32-5,0,0.167416,java,[vdso],[.],__vdso_clock_gettime
ip-172-31-32-5,0,0.157568,java,[kernel.kallsyms],[k],kmem_cache_alloc
ip-172-31-32-5,0,0.157568,java,libjvm.so,[.],0x00000000005e5527
ip-172-31-32-5,0,0.157568,java,libjvm.so,[.],0x0000000000a16e03
ip-172-31-32-5,0,0.157568,java,perf-9304.map,[.],0x00007fddb5000079
ip-172-31-32-5,0,0.157568,java,perf-9304.map,[.],0x00007fddb51f7ff6
ip-172-31-32-5,0,0.13787200000000002,java,libjvm.so,[.],0x00000000007ac726
ip-172-31-32-5,0,0.128024,java,[kernel.kallsyms],[k],__fget
ip-172-31-32-5,0,0.128024,java,[kernel.kallsyms],[k],copy_user_enhanced_fast_string
ip-172-31-32-5,0,0.128024,java,libjvm.so,[.],0x000000000066dd7b
ip-172-31-32-5,0,0.128024,java,libjvm.so,[.],0x00000000007ad87b
ip-172-31-32-5,0,0.128024,java,libjvm.so,[.],0x0000000000923219
ip-172-31-32-5,0,0.118176,java,[kernel.kallsyms],[k],do_dentry_open
ip-172-31-32-5,0,0.118176,java,[kernel.kallsyms],[k],extract_buf
ip-172-31-32-5,0,0.118176,java,libc-2.23.so,[.],malloc
ip-172-31-32-5,0,0.118176,java,libjvm.so,[.],0x00000000007ad7d8
ip-172-31-32-5,0,0.118176,java,perf-9304.map,[.],0x00007fddb5121b07
ip-172-31-32-5,0,0.118176,sshd,[kernel.kallsyms],[k],finish_task_switch
ip-172-31-32-5,0,0.10832800000000001,java,[kernel.kallsyms],[k],get_empty_filp
ip-172-31-32-5,0,0.10832800000000001,java,[kernel.kallsyms],[k],link_path_walk
ip-172-31-32-5,0,0.10832800000000001,java,libc-2.23.so,[.],strlen
ip-172-31-32-5,0,0.10832800000000001,java,libjvm.so,[.],0x00000000005e4f62
ip-172-31-32-5,0,0.10832800000000001,java,libjvm.so,[.],0x000000000060cda0
ip-172-31-32-5,0,0.10832800000000001,java,libjvm.so,[.],0x00000000009cade0
ip-172-31-32-5,0,0.09848000000000001,java,[kernel.kallsyms],[k],__pv_queued_spin_unlock
ip-172-31-32-5,0,0.09848000000000001,java,[kernel.kallsyms],[k],ext4_mark_iloc_dirty
